Title,Genres,Release Year,Budget ($MM),Revenue ($MM),Popularity,TMDB Rating,MovieLens Rating
The Avengers,"['Action', 'Adventure', 'Sci-Fi', 'IMAX']",2012, 220 ," 1,520 ",56.5,7.5,3.9
Inception,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller', 'IMAX']",2010, 160 , 826 ,32.8,8.2,4.2
Iron Man 2,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'IMAX']",2010, 200 , 624 ,28.1,6.7,3.6
Avatar,"['Action', 'Adventure', 'Sci-Fi', 'IMAX']",2009, 237 ," 2,788 ",27.7,7.3,3.8
The Dark Knight,"['Action', 'Adventure', 'Crime', 'IMAX']",2008, 185 ," 1,005 ",28.9,8.4,4.0
Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Mystery', 'Romance', 'IMAX']",2009, 250 , 934 ,23.5,7.5,3.8
Up,"['Adventure', 'Animation', 'Children', 'Drama']",2009, 175 , 735 ,22.3,7.8,4.0
Sherlock Holmes,"['Action', 'Crime', 'Mystery', 'Thriller']",2009, 90 , 524 ,21.2,7.1,3.8
Shutter Island,"['Drama', 'Mystery', 'Thriller']",2010, 80 , 295 ,19.4,8.0,3.9
Black Swan,"['Drama', 'Thriller']",2010, 13 , 328 ,19.3,7.5,3.9
,,,,,,,
,,,,,,,
,,,,220,,,
,,,, 160 ,,,
,,,, 200 ,,,
,,,, 237 ,,,
,,,, 185 ,,,
,,,, 250 ,,,
,,,, 175 ,,,
,,,, 90 ,,,
,,,, 80 ,,,
,,,, 13 ,,,